country_code,stations
US,82138
GB,26825
DE,23373
ES,17825
CA,16490
FR,13820
IT,10354
NL,8091
SE,4953
NO,4790
PT,3696
RU,2203
DK,2178
IE,2002
FI,1873
JP,1641
AT,1282
TR,1278
BE,1245
AU,1241
IN,1188
NZ,978
LT,960
CH,878
HU,864
RO,715
BR,644
MY,611
MX,579
UA,563
CZ,555
PL,461
EG,457
IS,432
ID,412
DO,368
IL,295
GR,277
HR,267
SK,253
HK,223
SI,185
CL,171
CR,171
EE,169
TW,162
KR,161
ZA,159
MA,151
UY,138
AE,131
RS,109
AD,96
CY,91
JO,88
LU,88
LV,83
CO,61
BG,59
LK,58
MT,55
GE,50
PY,47
IM,41
BY,40
BA,39
MC,37
MD,34
JM,33
ME,32
JE,29
TH,28
TN,25
SM,25
AR,22
KH,22
OM,22
EC,21
PH,16
XK,15
AL,15
GG,15
MK,12
CN,12
KE,12
SG,9
LI,8
RE,8
PE,7
GI,7
PA,6
FO,5
VN,4
PR,4
QA,4
AM,4
SA,3
PS,3
GH,3
AX,3
KZ,3
PK,3
TT,3
AZ,2
IQ,2
RW,2
MO,2
SJ,1
BB,1
SZ,1
BH,1
BW,1
NP,1
NAM,1
ET,1
UG,1
AF,1
UZ,1
MM,1
GT,1
KG,1
